Average,BYTE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;DAY_TIME:DECIMAL:DOUBLE:YEAR_MONTH
ElementAt,;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH,ARRAY;INTEGER;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH,MAP;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
Literal,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
Alias,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
AttributeReference,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
Cast,BOOLEAN:BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;BOOLEAN:BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT,STRING;DATE,STRING;TIMESTAMP,BYTE:INTEGER:LONG:SHORT;DAY_TIME:YEAR_MONTH,DAY_TIME:YEAR_MONTH;BYTE:INTEGER:LONG:SHORT,DECIMAL;DAY_TIME:YEAR_MONTH,DAY_TIME:YEAR_MONTH;DECIMAL,YEAR_MONTH;YEAR_MONTH,DAY_TIME;DAY_TIME,DATE;TIMESTAMP,TIMESTAMP;DATE
ScalarSubquery,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
If,BOOLEAN;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
CaseWhen,BOOLEAN;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
KnownNotNull,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
KnownFloatingPointNormalized,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
